ndc,rxcui,atc_class,atc_class_name
0781-3452-95,313920,J01DB,First-generation cephalosporins
0338-1051-02,1868494,C01DA,Organic nitrates
0338-0017-02,1795610,B05BA,Solutions for parenteral nutrition
0713-0165-50,209363,N02BE,Anilides
0338-0703-41,1860466,B05XA,Electrolyte solutions
63739-0272-01,308416,N02BA,Salicylic acid and derivatives
0310-0752-39,859753,C10AA,HMG CoA reductase inhibitors
17714-0011-10,198467,N02BA,Salicylic acid and derivatives
0378-0032-01,866514,C07AB,"Beta blocking agents, selective"
10432-0170-02,209638,A11CC,Vitamin D and analogues
0409-4911-34,1190546,A03BA,"Belladonna alkaloids, tertiary amines"
62175-0119-37,353538,C01DA,Organic nitrates
68016-0011-29,212033,A01AD,Other agents for local oral treatment
51079-0644-20,828348,M03BX,Other centrally acting agents
60505-6146-04,1665093,J01DE,Fourth-generation cephalosporins
68084-0774-01,310432,N02BF,Gabapentinoids
43547-0270-10,314208,N04BC,Dopamine agonists
0299-3820-60,605730,D06BX,Other chemotherapeutics
0173-0682-24,801095,R03AC,Selective beta-2-adrenoreceptor agonists
0338-1019-48,1721460,J01CF,Beta-lactamase resistant penicillins
0904-6554-61,856377,N06AX,Other antidepressants
63824-0175-63,1373128,R05DA,Opium alkaloids and derivatives
0904-6324-61,866412,C07AB,"Beta blocking agents, selective"
25021-0143-30,1659598,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
0338-0049-02,1807633,B05XA,Electrolyte solutions
47781-0598-91,1807516,A07AA,Antibiotics
0409-7332-01,1665021,J01DD,Third-generation cephalosporins
63323-0871-15,403920,J01XX,Other antibacterials
0904-6300-61,686924,C07AG,Alpha and beta blocking agents
25021-0402-01,1361615,B01AB,Heparin group
0904-6008-61,197901,N05BA,Benzodiazepine derivatives
76329-3301-01,727517,B05CX,Other irrigating solutions
0378-6997-89,724590,R01AX,Other nasal preparations
66553-0001-01,212033,A01AD,Other agents for local oral treatment
51079-0930-20,200031,C07AG,Alpha and beta blocking agents
63323-0492-57,1737567,N01BB,Amides
0904-6828-94,1049604,N02AA,Natural opium alkaloids
51079-0007-20,198051,A02BC,Proton pump inhibitors
0591-0407-01,314076,C09AA,"ACE inhibitors, plain"
51079-0801-20,866514,C07AB,"Beta blocking agents, selective"
0169-3687-12,616238,A10AE,"Insulins and analogues for injection, long-acting"
0143-1290-01,197943,M03BA,Carbamic acid esters
66553-0004-01,308907,A02AC,Calcium compounds
76045-0009-05,1872752,N02AA,Natural opium alkaloids
0169-7501-11,351926,A10AB,"Insulins and analogues for injection, fast-acting"
70860-0104-10,1807516,A07AA,Antibiotics
0409-7335-03,1665046,J01DD,Third-generation cephalosporins
0121-1488-00,310604,R05CA,Expectorants
25021-0179-15,1996246,J01XX,Other antibacterials
0904-6665-61,310430,N02BF,Gabapentinoids
50268-0278-15,1649988,J01AA,Tetracyclines
60505-0829-01,1797907,R01AD,Corticosteroids
0409-1890-01,1729197,N02AA,Natural opium alkaloids
0904-6374-61,314208,N04BC,Dopamine agonists
0904-3865-75,707381,R01AX,Other nasal preparations
60687-0424-01,311681,P01AB,Nitroimidazole derivatives
0904-6666-61,310431,N02BF,Gabapentinoids
70000-0323-01,998461,D01AC,Imidazole and triazole derivatives
65862-0202-30,979492,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
45802-0059-11,543546,D01AA,Antibiotics
0264-3103-11,1665050,J01DB,First-generation cephalosporins
17714-0020-01,1049909,R06AA,Aminoalkyl ethers
0641-0376-25,1049633,R06AA,Aminoalkyl ethers
63323-0369-20,1659598,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
44567-0621-24,2117608,A12AA,Calcium
51645-0905-99,313323,A11DA,"Vitamin B1, plain"
0703-3321-04,312070,H01CB,Somatostatin and analogues
0338-0017-03,1795607,B05BA,Solutions for parenteral nutrition
0409-6653-05,1860139,B05XA,Electrolyte solutions
0904-5677-61,1738495,N06AB,Selective serotonin reuptake inhibitors
10006-0700-28,198741,A02AA,Magnesium compounds
69339-0138-19,834127,A01AB,Antiinfectives and antiseptics for local oral treatment
0228-2127-10,884173,C02AC,Imidazoline receptor agonists
0409-6729-23,1658262,B05XA,Electrolyte solutions
0338-0017-31,1795616,B05BA,Solutions for parenteral nutrition
43598-0405-16,1670192,B02BA,Vitamin K
0409-7295-01,1928569,B05XA,Electrolyte solutions
63323-0170-15,1872384,B05XA,Electrolyte solutions
0574-0275-11,628953,B05XA,Electrolyte solutions
0641-0477-25,312370,N03AA,Barbiturates and derivatives
69238-1617-08,1867544,B05XA,Electrolyte solutions
63323-0170-05,1872443,B05XA,Electrolyte solutions
51079-0169-20,866427,C07AB,"Beta blocking agents, selective"
44567-0420-24,1658259,B05XA,Electrolyte solutions
58914-0171-10,208097,A02BX,Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)
0904-6377-61,312078,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0904-6638-61,312744,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
54643-5649-01,1304564,A11DA,"Vitamin B1, plain"
24201-0100-24,483017,N02BE,Anilides
43598-0447-74,198029,N07BA,Drugs used in nicotine dependence
16729-0239-93,309710,N05CM,Other hypnotics and sedatives
0143-9284-10,283669,A02BC,Proton pump inhibitors
62584-0897-01,310410,B03BB,Folic acid and derivatives
25021-0673-76,1549447,D04AB,Anesthetics for topical use
0904-0523-61,282402,A11GA,"Ascorbic acid (vitamin C), plain"
0409-6102-02,1719290,C03CA,"Sulfonamides, plain"
0781-3208-95,1665021,J01DD,Third-generation cephalosporins
63323-0965-20,1860139,B05XA,Electrolyte solutions
0456-3210-63,996563,N06DX,Other anti-dementia drugs
0143-9681-25,1731590,D11AA,Antihidrotics
24208-0910-19,310149,S01AA,Antibiotics
0409-6651-06,1860136,B05XA,Electrolyte solutions
42858-0301-25,897696,N02AA,Natural opium alkaloids
68084-0099-01,617311,C10AA,HMG CoA reductase inhibitors
68180-0353-09,312938,N06AB,Selective serotonin reuptake inhibitors
63323-0569-90,854245,B01AB,Heparin group
0143-9570-10,242761,B03AB,"Iron trivalent, oral preparations"
0904-6292-61,617311,C10AA,HMG CoA reductase inhibitors
68084-0181-01,312941,N06AB,Selective serotonin reuptake inhibitors
68084-0098-01,617310,C10AA,HMG CoA reductase inhibitors
60687-0242-01,312941,N06AB,Selective serotonin reuptake inhibitors
0904-5306-61,1049909,R06AA,Aminoalkyl ethers
51991-0759-33,200064,L02BG,Aromatase inhibitors
63323-0161-01,860092,M01AB,Acetic acid derivatives and related substances
62584-0984-01,855302,B01AA,Vitamin K antagonists
63323-0568-83,854228,B01AB,Heparin group
60687-0253-01,312938,N06AB,Selective serotonin reuptake inhibitors
60687-0454-01,856373,N06AX,Other antidepressants
63323-0535-01,854235,B01AB,Heparin group
76045-0004-10,998212,N02AA,Natural opium alkaloids
65649-0551-02,979115,A06AH,Peripheral opioid receptor antagonists
0172-3925-60,197590,N05BA,Benzodiazepine derivatives
