ndc,rxcui,atc_class,atc_class_name
0781-3451-96,1665050,J01DB,First-generation cephalosporins
67457-0386-81,311881,L04AA,Selective immunosuppressants
67457-0433-22,1743833,A02BA,H2-receptor antagonists
51991-0906-01,198250,A01AB,Antiinfectives and antiseptics for local oral treatment
58468-0080-01,107050,L04AA,Selective immunosuppressants
60687-0113-01,884173,C02AC,Imidazoline receptor agonists
67457-0423-12,1812194,H02AB,Glucocorticoids
63395-0201-13,261361,N07AX,Other parasympathomimetics
49884-0311-91,403825,N05AX,Other antipsychotics
0904-6360-61,312831,N05AX,Other antipsychotics
51079-0323-01,199224,L02BG,Aromatase inhibitors
0904-6440-61,905199,C02DB,Hydrazinophthalazine derivatives
62037-0697-90,831248,C05AE,Muscle relaxants
0603-1508-58,702519,N03AA,Barbiturates and derivatives
69097-0426-02,485434,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
0131-5410-70,995156,N03AX,Other antiepileptics
51079-0513-20,317573,A10BG,Thiazolidinediones
0904-5610-61,858817,C09AA,"ACE inhibitors, plain"
0904-5502-61,858813,C09AA,"ACE inhibitors, plain"
0409-5084-11,1659294,J01DD,Third-generation cephalosporins
50474-0802-03,722256,N04BC,Dopamine agonists
51079-0321-20,310346,G04CB,Testosterone-5-alpha reductase inhibitors
23155-0578-01,1099288,N06AA,Non-selective monoamine reuptake inhibitors
59762-5008-02,317128,A02BB,Prostaglandins
60687-0387-01,993466,C01CA,Adrenergic and dopaminergic agents
39822-0615-01,1117522,J01XB,Polymyxins
42367-0203-84,1804735,B01AE,Direct thrombin inhibitors
65293-0001-01,284534,B01AE,Direct thrombin inhibitors
51079-0067-20,1190572,A07DA,Antipropulsives
51672-1304-06,313226,G01AG,Triazole derivatives
0409-1144-05,1665057,C08DA,Phenylalkylamine derivatives
65162-0641-10,886662,C01BC,"Antiarrhythmics, class Ic"
47781-0470-13,312122,J05AH,Neuraminidase inhibitors
55111-0556-10,636631,L01BC,Pyrimidine analogues
42367-0570-87,313578,H01BA,Vasopressin and analogues
76329-3316-01,727373,A01AD,Other agents for local oral treatment
0641-6013-10,1791229,C08DB,Benzothiazepine derivatives
60505-0080-00,1923426,C07AA,"Beta blocking agents, non-selective"
70860-0100-10,1668238,J01FA,Macrolides
67457-0251-02,309710,N05CM,Other hypnotics and sedatives
42571-0101-01,199246,A10BB,Sulfonylureas
65162-0188-10,198013,M01AE,Propionic acid derivatives
51672-4131-01,198427,N03AX,Other antiepileptics
54092-0189-81,206791,A07EC,Aminosalicylic acid and similar agents
59762-0117-01,1368954,A07EC,Aminosalicylic acid and similar agents
0168-0040-46,197407,A07EA,Corticosteroids acting locally
67457-0211-02,310414,V03AB,Antidotes
76329-9061-00,310132,C01CA,Adrenergic and dopaminergic agents
0409-9104-20,1743938,C01CA,Adrenergic and dopaminergic agents
0409-1631-10,828527,A12AA,Calcium
68462-0292-01,897659,C08DA,Phenylalkylamine derivatives
50268-0594-15,198013,M01AE,Propionic acid derivatives
46122-0646-54,855633,M02AA,"Antiinflammatory preparations, non-steroids for topical use"
51079-0273-03,317094,N04BX,Other dopaminergic agents
68546-0142-56,637218,N04BD,Monoamine oxidase B inhibitors
0378-6160-01,856535,C07AA,"Beta blocking agents, non-selective"
0904-6778-61,859424,C10AA,HMG CoA reductase inhibitors
0409-5092-16,1659292,J01DD,Third-generation cephalosporins
68084-0186-01,904458,C10AA,HMG CoA reductase inhibitors
50268-0644-15,1049221,N02AJ,Opioids in combination with non-opioid analgesics
50268-0130-15,197417,C03CA,"Sulfonamides, plain"
60687-0535-01,197419,C03CA,"Sulfonamides, plain"
0597-0152-37,1545664,A10BK,Sodium-glucose co-transporter 2 (SGLT2) inhibitors
50268-0447-15,314055,C01DA,Organic nitrates
47781-0647-26,237723,A11CC,Vitamin D and analogues
0781-3059-95,104208,C01AA,Digitalis glycosides
53489-0386-01,197987,C02DC,Pyrimidine derivatives
65862-0841-30,485434,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
47335-0672-81,830801,C08DB,Benzothiazepine derivatives
63323-0609-90,854245,B01AB,Heparin group
68462-0347-37,1049615,N02AA,Natural opium alkaloids
17478-0542-02,1654169,C01EB,Other cardiac preparations
60505-6142-05,1665050,J01DB,First-generation cephalosporins
68084-0790-25,857297,N06AA,Non-selective monoamine reuptake inhibitors
0904-5529-87,199047,A02BA,H2-receptor antagonists
0258-3711-01,856605,J05AC,Cyclic amines
51079-0223-20,200224,R03DC,Leukotriene receptor antagonists
63739-0367-10,206842,C01DA,Organic nitrates
0904-6358-61,312829,N05AX,Other antipsychotics
0781-3314-95,1804735,B01AE,Direct thrombin inhibitors
51672-2010-02,198707,D07AA,"Corticosteroids, weak (group I)"
51079-0519-20,991194,N05AA,Phenothiazines with aliphatic side-chain
60687-0149-94,200328,L01BC,Pyrimidine analogues
43598-0283-35,1790115,L01DB,Anthracyclines and related substances
47781-0569-26,103457,D07AC,"Corticosteroids, potent (group III)"
25010-0210-27,211509,C03CC,Aryloxyacetic acid derivatives
0173-0519-00,211200,B01AC,Platelet aggregation inhibitors excl. heparin
68850-0012-02,995609,J04AK,Other drugs for treatment of tuberculosis
60267-0705-50,237832,V03AB,Antidotes
52959-0586-05,245135,N02AB,Phenylpiperidine derivatives
60505-7007-02,245135,N02AB,Phenylpiperidine derivatives
42858-0304-16,897657,N02AA,Natural opium alkaloids
58468-0021-01,857226,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
60505-0749-05,1665050,J01DB,First-generation cephalosporins
51079-0889-20,312301,C04AD,Purine derivatives
64764-0080-60,794641,A06AX,Other drugs for constipation
0186-1988-04,616830,A07EA,Corticosteroids acting locally
25208-0002-01,1737468,B01AC,Platelet aggregation inhibitors excl. heparin
51079-0561-03,260218,N06BA,Centrally acting sympathomimetics
55253-0801-30,260218,N06BA,Centrally acting sympathomimetics
62756-0513-44,647121,N03AX,Other antiepileptics
17478-0101-12,313521,S01FA,Anticholinergics
62856-0389-01,1045460,L01XX,Other antineoplastic agents
51079-0165-03,349434,J02AC,Triazole and tetrazole derivatives
62584-0812-01,198057,N05BA,Benzodiazepine derivatives
27241-0062-03,349435,J02AC,Triazole and tetrazole derivatives
67457-0196-02,313324,A11DA,"Vitamin B1, plain"
0409-4346-73,1718760,B02AA,Amino acids
65862-0146-36,315223,N02CC,Selective serotonin (5HT1) agonists
63323-0265-30,314099,H02AB,Glucocorticoids
76478-0501-50,207468,N05CA,"Barbiturates, plain"
54092-0063-01,597857,L01XX,Other antineoplastic agents
49884-0724-01,197797,L01XX,Other antineoplastic agents
51079-0768-20,314285,N03AX,Other antiepileptics
68094-0001-62,892589,N02AA,Natural opium alkaloids
0115-1659-01,856448,C07AA,"Beta blocking agents, non-selective"
51645-0905-01,313323,A11DA,"Vitamin B1, plain"
50268-0616-13,312076,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0703-6801-04,1000126,G03AC,Progestogens
0832-0301-01,991194,N05AA,Phenothiazines with aliphatic side-chain
0832-0303-01,991044,N05AA,Phenothiazines with aliphatic side-chain
39328-0064-12,644133,D08AX,Other antiseptics and disinfectants
17478-0380-20,864714,N07BC,Drugs used in opioid dependence
0832-0303-00,991044,N05AA,Phenothiazines with aliphatic side-chain
68084-0344-01,199889,N03AX,Other antiepileptics
64764-0240-60,617768,A06AX,Other drugs for constipation
63739-0677-10,317174,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
63459-0416-30,1299971,N03AG,Fatty acid derivatives
0904-7044-61,596930,N06AX,Other antidepressants
59746-0307-32,312076,N05AH,"Diazepines, oxazepines, thiazepines and oxepines"
0517-2502-10,240738,V04CG,Tests for gastric secretion
0378-0144-91,198240,L02BA,Anti-estrogens
68084-0590-25,259255,C10AA,HMG CoA reductase inhibitors
59746-0113-06,312635,N05AB,Phenothiazines with piperazine structure
59746-0115-06,198365,N05AB,Phenothiazines with piperazine structure
65649-0301-41,539789,A07AA,Antibiotics
69452-0150-20,1099681,N03AG,Fatty acid derivatives
63323-0403-10,1670195,N03AB,Hydantoin derivatives
67457-0430-10,1737449,M05BA,Bisphosphonates
0338-0049-10,1807630,B05XA,Electrolyte solutions
63323-0731-01,308869,A11CC,Vitamin D and analogues
55513-0221-01,1728095,B02BX,Other systemic hemostatics
0555-0788-02,861225,N06BA,Centrally acting sympathomimetics
60687-0226-01,856569,C07AA,"Beta blocking agents, non-selective"
0168-0081-30,1053753,D07CB,"Corticosteroids, moderately potent, combinations with antibiotics"
55150-0226-10,1234995,M03AC,Other quaternary ammonium compounds
68462-0333-90,859052,N04BC,Dopamine agonists
63323-0486-27,1010673,N01BB,Amides
47781-0589-91,311702,N05CD,Benzodiazepine derivatives
63323-0104-25,310248,L01CB,Podophyllotoxin derivatives
0703-4239-01,597195,L01XA,Platinum compounds
54092-0252-90,542465,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia
59762-5026-01,310430,N02BF,Gabapentinoids
0406-0552-01,1049621,N02AA,Natural opium alkaloids
51801-0001-40,1088774,A12BA,Potassium
0904-6824-61,857002,N02AJ,Opioids in combination with non-opioid analgesics
29300-0135-01,884173,C02AC,Imidazoline receptor agonists
50268-0143-15,993687,N06AX,Other antidepressants
0781-1397-13,314035,N05AD,Butyrophenone derivatives
51079-0518-20,991039,N05AA,Phenothiazines with aliphatic side-chain
0781-3174-14,313165,N02CC,Selective serotonin (5HT1) agonists
10432-0065-01,204624,A11HA,Other plain vitamin preparations
65649-0231-41,404475,L04AX,Other immunosuppressants
0378-2520-93,197700,J02AC,Triazole and tetrazole derivatives
0469-0657-73,108514,L04AD,Calcineurin inhibitors
0143-1475-01,312617,H02AB,Glucocorticoids
51079-0973-20,861010,A10BA,Biguanides
51079-0509-20,485023,L04AA,Selective immunosuppressants
24385-0385-51,310273,A02BA,H2-receptor antagonists
51672-4117-04,312055,A07AA,Antibiotics
55150-0116-20,1659592,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
0378-9102-93,861657,C01DA,Organic nitrates
0378-9104-93,486148,C01DA,Organic nitrates
49999-0649-90,849580,J01EC,Intermediate-acting sulfonamides
0487-9701-01,351109,A07EA,Corticosteroids acting locally
69097-0224-16,904431,M05BA,Bisphosphonates
45802-0425-78,997501,R06AX,Other antihistamines for systemic use
50242-0214-01,2058950,R03DX,Other systemic drugs for obstructive airway diseases
0409-4283-01,1010844,N01BB,Amides
42858-0701-01,313291,R03DA,Xanthines
50242-0215-01,2058946,R03DX,Other systemic drugs for obstructive airway diseases
65162-0897-03,402131,N05AX,Other antipsychotics
23155-0606-01,197738,D11AA,Antihidrotics
0904-6510-61,402131,N05AX,Other antipsychotics
65162-0896-03,602964,N05AX,Other antipsychotics
0143-3126-01,991061,A03AA,"Synthetic anticholinergics, esters with tertiary amino group"
43547-0268-10,312845,N04BC,Dopamine agonists
69076-0475-01,197738,D11AA,Antihidrotics
68084-0295-21,310489,A10BB,Sulfonylureas
0517-8210-25,262197,V03AB,Antidotes
0781-3655-69,854252,B01AB,Heparin group
0781-7077-87,142046,G01AF,Imidazole derivatives
0185-0940-98,848943,C10AC,Bile acid sequestrants
59746-0383-06,313215,G04CA,Alpha-adrenoreceptor antagonists
0143-9398-10,1734683,J01DH,Carbapenems
68546-0317-30,1111642,L03AX,Other immunostimulants
0904-6861-90,1099870,N03AG,Fatty acid derivatives
0904-6364-45,1099569,N03AG,Fatty acid derivatives
50268-0069-15,849389,N04BB,Adamantane derivatives
68084-0318-01,282401,N03AX,Other antiepileptics
60687-0234-01,859424,C10AA,HMG CoA reductase inhibitors
68180-0354-07,616749,C01EB,Other cardiac preparations
60687-0373-21,349556,C10AX,Other lipid modifying agents
0187-3010-30,903859,N07AA,Anticholinesterases
70377-0008-12,859751,C10AA,HMG CoA reductase inhibitors
23155-0071-01,197941,H03BB,Sulfur-containing imidazole derivatives
0115-1661-01,856519,C07AA,"Beta blocking agents, non-selective"
68084-0964-95,198175,H03BA,Thiouracils
63323-0365-01,312068,H01CB,Somatostatin and analogues
0409-7935-19,237649,B05BA,Solutions for parenteral nutrition
0904-0277-60,260476,A11HA,Other plain vitamin preparations
0472-0735-56,998483,D01AC,Imidazole and triazole derivatives
68084-0896-25,313582,N06AX,Other antidepressants
25021-0403-01,1362831,B01AB,Heparin group
0781-2323-68,403811,A04AD,Other antiemetics
63323-0417-10,199211,M03AC,Other quaternary ammonium compounds
66794-0219-43,1662285,J01XX,Other antibacterials
50742-0622-01,198036,C08CA,Dihydropyridine derivatives
12165-0100-01,1117536,D08AL,Silver compounds
67877-0124-05,106351,D06BA,Sulfonamides
68382-0917-11,197973,H02AB,Glucocorticoids
43598-0210-55,208185,D06BA,Sulfonamides
0904-6301-61,200031,C07AG,Alpha and beta blocking agents
51079-0385-20,308979,N03AF,Carboxamide derivatives
0409-1162-02,1724884,N01BB,Amides
59676-0570-01,758555,J05AG,Non-nucleoside reverse transcriptase inhibitors
49702-0224-18,729203,J05AX,Other antivirals
0703-2394-03,1234995,M03AC,Other quaternary ammonium compounds
0536-1232-01,198467,N02BA,Salicylic acid and derivatives
50419-0452-04,310181,G03CA,"Natural and semisynthetic estrogens, plain"
0555-0971-02,541878,N06BA,Centrally acting sympathomimetics
42023-0114-10,206972,N01AX,Other general anesthetics
68084-0388-01,885213,N04AC,Ethers of tropine or tropine derivatives
0378-2537-01,198316,C03DB,Other potassium-sparing agents
50474-0001-48,404595,N03AX,Other antiepileptics
0781-3040-95,903855,N07AA,Anticholinesterases
51079-0620-06,197388,L04AX,Other immunosuppressants
67457-0658-10,979432,C07AB,"Beta blocking agents, selective"
25021-0305-20,484152,C03AA,"Thiazides, plain"
58160-0826-11,1658060,J07BC,Hepatitis vaccines
63323-0652-10,1736546,C07AB,"Beta blocking agents, selective"
0456-0461-63,208544,H03AA,Thyroid hormones
0456-0458-01,208535,H03AA,Thyroid hormones
49938-0102-30,197558,J04BA,Drugs for treatment of lepra
68982-0623-03,1741423,B05AA,Blood substitutes and plasma protein fractions
0904-5415-01,992766,G01AF,Imidazole derivatives
50268-0684-15,312635,N05AB,Phenothiazines with piperazine structure
0338-1017-41,1721458,J01CF,Beta-lactamase resistant penicillins
76014-0004-33,1542385,C01CA,Adrenergic and dopaminergic agents
0469-0657-11,108514,L04AD,Calcineurin inhibitors
0641-6008-10,1727569,C03CA,"Sulfonamides, plain"
59762-1002-01,349208,L04AH,Mammalian target of rapamycin (mTOR) kinase inhibitors
65597-0103-30,352200,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
60687-0121-25,835726,N07BB,Drugs used in alcohol dependence
49411-0050-30,211465,B02AA,Amino acids
43547-0367-03,349483,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
25021-0310-02,240793,C02DD,Nitroferricyanide derivatives
65162-0778-10,1244214,A07EA,Corticosteroids acting locally
0186-1989-04,616817,A07EA,Corticosteroids acting locally
52565-0014-80,1085636,A01AC,Corticosteroids for local oral treatment
17478-0504-10,1737852,V03AB,Antidotes
16729-0295-12,597195,L01XA,Platinum compounds
0143-1769-01,314055,C01DA,Organic nitrates
63323-0273-01,313165,N02CC,Selective serotonin (5HT1) agonists
0904-2051-59,211482,R06AA,Aminoalkyl ethers
0591-3369-01,238154,N02BE,Anilides
0121-0581-04,141935,N05AD,Butyrophenone derivatives
68084-0249-01,314035,N05AD,Butyrophenone derivatives
60687-0368-01,885213,N04AC,Ethers of tropine or tropine derivatives
68084-0867-01,312138,N03AF,Carboxamide derivatives
60505-0823-06,313919,H05BA,Calcitonin preparations
0472-0381-15,197405,A07EA,Corticosteroids acting locally
68180-0319-06,993541,N06AX,Other antidepressants
67386-0313-21,1366196,N05BA,Benzodiazepine derivatives
50474-0598-66,807834,N03AX,Other antiepileptics
50474-0599-66,847673,N03AX,Other antiepileptics
0131-2480-35,809998,N03AX,Other antiepileptics
67386-0315-01,1191058,N05BA,Benzodiazepine derivatives
0173-0756-00,900145,N03AX,Other antiepileptics
63402-0202-30,1482513,N03AF,Carboxamide derivatives
51991-0901-01,246172,N05BA,Benzodiazepine derivatives
70127-0100-10,2058906,N03AX,Other antiepileptics
59762-1720-01,351257,C03DA,Aldosterone antagonists
59762-1710-02,351256,C03DA,Aldosterone antagonists
61314-0030-02,1923432,C07AA,"Beta blocking agents, non-selective"
51079-0145-20,898687,C09AA,"ACE inhibitors, plain"
0378-1030-93,351256,C03DA,Aldosterone antagonists
51293-0810-01,1094107,G04BX,Other urologicals
42023-0115-10,206970,N01AX,Other general anesthetics
0781-1392-13,310671,N05AD,Butyrophenone derivatives
51079-0172-20,861007,A10BA,Biguanides
51079-0868-20,197816,C03BA,"Sulfonamides, plain"
0781-2020-01,308182,J01CA,Penicillins with extended spectrum
50242-0100-40,205532,R05CB,Mucolytics
68180-0980-01,314076,C09AA,"ACE inhibitors, plain"
67457-0342-10,239209,A07AA,Antibiotics
17478-0605-10,1923433,C07AA,"Beta blocking agents, non-selective"
37205-0712-26,996520,R05DA,Opium alkaloids and derivatives
24208-0315-10,244967,J01EA,Trimethoprim and derivatives
55513-0028-01,731235,B03XA,Other antianemic preparations
0409-3299-06,237371,B05XA,Electrolyte solutions
64679-0936-02,310273,A02BA,H2-receptor antagonists
0378-1640-93,349434,J02AC,Triazole and tetrazole derivatives
0703-2045-03,199212,M03AC,Other quaternary ammonium compounds
51079-0164-03,349435,J02AC,Triazole and tetrazole derivatives
0310-0201-30,151124,L02BG,Aromatase inhibitors
0283-0679-02,808357,C05AD,Local anesthetics
59762-0930-02,349434,J02AC,Triazole and tetrazole derivatives
0378-1450-01,197892,N05AN,Lithium
60505-2586-00,312830,N05AX,Other antipsychotics
60758-0119-05,1376336,S01BA,"Corticosteroids, plain"
61314-0665-05,308345,S01EA,Sympathomimetics in glaucoma therapy
60758-0802-05,1923428,C07AA,"Beta blocking agents, non-selective"
0168-0059-60,1191310,D07AC,"Corticosteroids, potent (group III)"
63739-0016-10,830837,C08DB,Benzothiazepine derivatives
50268-0788-15,313565,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
0904-5784-61,310384,N06AB,Selective serotonin reuptake inhibitors
60793-0136-01,352277,M03BX,Other centrally acting agents
0187-0192-01,793872,C01DA,Organic nitrates
69452-0209-20,198037,C08CA,Dihydropyridine derivatives
24338-0230-12,2361313,C08CA,Dihydropyridine derivatives
0185-0130-01,197419,C03CA,"Sulfonamides, plain"
63323-0537-84,854252,B01AB,Heparin group
0904-5891-61,904458,C10AA,HMG CoA reductase inhibitors
55111-0678-10,861360,B01AX,Other antithrombotic agents
59762-1517-01,205323,L01XX,Other antineoplastic agents
51672-2035-06,998540,G01AF,Imidazole derivatives
0131-2477-35,810002,N03AX,Other antiepileptics
60687-0230-01,314285,N03AX,Other antiepileptics
49702-0228-13,1433879,J05AJ,Integrase inhibitors
59676-0566-30,1359271,J05AE,Protease inhibitors
60505-2584-00,312828,N05AX,Other antipsychotics
0186-0372-20,1246290,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
51672-1309-01,848208,A07EA,Corticosteroids acting locally
64764-0300-20,1538142,L04AG,Monoclonal antibodies
68462-0332-90,859044,N04BC,Dopamine agonists
68084-0621-21,260218,N06BA,Centrally acting sympathomimetics
0378-6985-01,312997,R01AX,Other nasal preparations
60505-2587-00,312831,N05AX,Other antipsychotics
10702-0076-01,1091225,N06BA,Centrally acting sympathomimetics
67618-0150-01,211108,D08AG,Iodine products
60505-4643-03,855812,B01AC,Platelet aggregation inhibitors excl. heparin
0832-0310-11,1099681,N03AG,Fatty acid derivatives
43598-0636-10,1193358,N03AX,Other antiepileptics
14789-0220-10,1193358,N03AX,Other antiepileptics
0904-6860-61,1099678,N03AG,Fatty acid derivatives
0781-3125-95,1721460,J01CF,Beta-lactamase resistant penicillins
0378-0873-99,998679,C02AC,Imidazoline receptor agonists
50383-0233-10,1923432,C07AA,"Beta blocking agents, non-selective"
0781-3204-95,858607,C08CA,Dihydropyridine derivatives
61314-0206-15,1000897,S01EB,Parasympathomimetics
0173-0662-00,213483,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
49702-0207-18,402110,J05AE,Protease inhibitors
44567-0510-01,309311,L01XA,Platinum compounds
42858-0302-25,897702,N02AA,Natural opium alkaloids
68462-0158-11,312087,A04AA,Serotonin (5HT3) antagonists
16729-0288-38,309311,L01XA,Platinum compounds
0781-5182-92,966222,H03AA,Thyroid hormones
68462-0638-01,198038,C01DA,Organic nitrates
25208-0002-02,1737472,B01AC,Platelet aggregation inhibitors excl. heparin
60687-0612-21,349483,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
42211-0102-43,206969,M01AB,Acetic acid derivatives and related substances
0781-3124-95,1721458,J01CF,Beta-lactamase resistant penicillins
60432-0537-60,312055,A07AA,Antibiotics
42023-0172-04,311881,L04AA,Selective immunosuppressants
0409-2344-02,1812168,C01CA,Adrenergic and dopaminergic agents
10135-0147-02,198601,N01BB,Amides
0781-5400-92,859424,C10AA,HMG CoA reductase inhibitors
53489-0141-01,852920,C01BA,"Antiarrhythmics, class Ia"
51672-2075-01,1366116,D06AX,Other antibiotics for topical use
24338-0200-16,1423773,C08CA,Dihydropyridine derivatives
0574-0106-01,197411,G02CB,Prolactine inhibitors
63323-0617-20,1791859,C01CE,Phosphodiesterase inhibitors
68180-0677-11,312122,J05AH,Neuraminidase inhibitors
0472-0370-45,197407,A07EA,Corticosteroids acting locally
50458-0302-01,262222,N05AX,Other antipsychotics
0904-6505-61,996571,N06DX,Other anti-dementia drugs
63323-0360-61,197435,A12AA,Calcium
0517-1820-01,484152,C03AA,"Thiazides, plain"
65862-0676-01,308047,N05BA,Benzodiazepine derivatives
17478-0060-12,142004,S01XA,Other ophthalmologicals
59148-0021-50,849835,C03XA,Vasopressin antagonists
25021-0662-05,1234995,M03AC,Other quaternary ammonium compounds
39822-4200-06,1234995,M03AC,Other quaternary ammonium compounds
0781-3158-95,308769,B01AE,Direct thrombin inhibitors
0555-9009-42,751871,G03AA,"Progestogens and estrogens, fixed combinations"
68084-0111-01,314006,A10BB,Sulfonylureas
59762-0104-01,313142,A07EC,Aminosalicylic acid and similar agents
45802-0344-05,359817,N07BA,Drugs used in nicotine dependence
51079-0204-06,242679,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
61958-0401-01,352050,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
69543-0131-20,904431,M05BA,Bisphosphonates
39822-1000-01,238720,B02AA,Amino acids
67877-0319-01,197805,M01AE,Propionic acid derivatives
61314-0143-05,861200,D11AX,Other dermatologicals
43598-0436-11,198039,C01DA,Organic nitrates
60505-0033-06,312301,C04AD,Purine derivatives
60505-2642-03,199123,L02BB,Anti-androgens
69315-0905-01,197901,N05BA,Benzodiazepine derivatives
0143-9622-01,896771,C07AG,Alpha and beta blocking agents
67919-0030-01,1597620,J01DI,Other cephalosporins and penems
54838-0133-40,996520,R05DA,Opium alkaloids and derivatives
50419-0777-01,213224,J01MA,Fluoroquinolones
17478-0290-10,313415,J01GB,Other aminoglycosides
0169-4060-12,897126,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues
0185-0720-01,310992,M01AB,Acetic acid derivatives and related substances
47781-0497-01,1251903,C03CC,Aryloxyacetic acid derivatives
0168-0055-46,238920,A07EA,Corticosteroids acting locally
13668-0094-90,859052,N04BC,Dopamine agonists
51079-0975-20,197904,C10AA,HMG CoA reductase inhibitors
51079-0516-20,991044,N05AA,Phenothiazines with aliphatic side-chain
0904-6172-61,308979,N03AF,Carboxamide derivatives
68084-0381-01,885219,N04AC,Ethers of tropine or tropine derivatives
76385-0104-01,885213,N04AC,Ethers of tropine or tropine derivatives
63459-0504-30,262219,N02AB,Phenylpiperidine derivatives
55111-0525-01,313190,L04AD,Calcineurin inhibitors
55111-0526-01,198377,L04AD,Calcineurin inhibitors
0409-4282-01,1737757,N01BB,Amides
50268-0570-12,260218,N06BA,Centrally acting sympathomimetics
60793-0115-01,903458,H03AA,Thyroid hormones
69315-0155-01,429503,C03AA,"Thiazides, plain"
59676-0320-04,212219,B03XA,Other antianemic preparations
63323-0172-60,597195,L01XA,Platinum compounds
0472-0371-45,197409,A07EA,Corticosteroids acting locally
64764-0451-25,261268,A10BG,Thiazolidinediones
0641-6116-10,1659592,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
24385-0807-01,1053346,A06AD,Osmotically acting laxatives
0904-6624-61,198378,L04AD,Calcineurin inhibitors
0591-2579-20,863559,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
57237-0150-35,310353,J02AC,Triazole and tetrazole derivatives
67457-0790-05,647121,N03AX,Other antiepileptics
60758-0801-05,1992303,C07AA,"Beta blocking agents, non-selective"
0703-3218-01,312199,L01CD,Taxanes
44206-0251-10,1742406,B05AA,Blood substitutes and plasma protein fractions
0409-1208-01,199211,M03AC,Other quaternary ammonium compounds
66758-0050-03,1093280,L01CD,Taxanes
63323-0064-03,1658221,B05XA,Electrolyte solutions
0409-4031-01,311450,B05BC,Solutions producing osmotic diuresis
0641-6015-10,1791233,C08DB,Benzothiazepine derivatives
10147-0952-01,672567,N05AX,Other antipsychotics
68382-0079-01,310672,N05AD,Butyrophenone derivatives
42292-0027-20,672569,N05AX,Other antipsychotics
0904-6867-04,199159,D10AD,Retinoids for topical use in acne
0555-0808-02,199159,D10AD,Retinoids for topical use in acne
50242-0137-01,1657982,L04AC,Interleukin inhibitors
36000-0322-02,896771,C07AG,Alpha and beta blocking agents
0409-3720-01,1721476,J01CA,Penicillins with extended spectrum
46287-0500-30,313092,A06AD,Osmotically acting laxatives
45802-0873-05,359818,N07BA,Drugs used in nicotine dependence
60432-0466-08,309686,H02AB,Glucocorticoids
60505-7080-02,577057,N01AH,Opioid anesthetics
50268-0401-15,857002,N02AJ,Opioids in combination with non-opioid analgesics
43598-0210-40,208185,D06BA,Sulfonamides
68084-0371-01,833528,C01BD,"Antiarrhythmics, class III"
0904-6599-61,198076,N05AB,Phenothiazines with piperazine structure
49702-0205-48,152932,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors
68084-0697-01,993503,N06AX,Other antidepressants
25208-0002-03,1737468,B01AC,Platelet aggregation inhibitors excl. heparin
49884-0486-11,103968,N03AX,Other antiepileptics
61958-1801-01,1591949,J05AP,Antivirals for treatment of HCV infections
55111-0694-07,1728055,A04AA,Serotonin (5HT3) antagonists
0168-0058-15,1191302,D07AC,"Corticosteroids, potent (group III)"
63629-3383-03,996574,N06DX,Other anti-dementia drugs
45963-0418-06,616749,C01EB,Other cardiac preparations
50458-0577-10,2059017,B01AF,Direct factor Xa inhibitors
63459-0101-30,226426,N06BA,Centrally acting sympathomimetics
61703-0350-38,1946772,L01BA,Folic acid analogues
0406-9050-76,245135,N02AB,Phenylpiperidine derivatives
24208-0670-04,1006120,S01AB,Sulfonamides
62756-0796-88,1099625,N03AG,Fatty acid derivatives
57237-0047-01,1099678,N03AG,Fatty acid derivatives
45802-0056-35,197735,D06AX,Other antibiotics for topical use
0245-0012-01,904605,C07AA,"Beta blocking agents, non-selective"
66220-0207-30,582119,R05CB,Mucolytics
68084-0645-01,313413,M03BX,Other centrally acting agents
68084-0119-01,311725,N06AX,Other antidepressants
0378-0924-93,351265,N02AE,Oripavine derivatives
0378-0923-93,351264,N02AE,Oripavine derivatives
25021-0184-82,1721315,J02AC,Triazole and tetrazole derivatives
67457-0001-10,238084,N01AX,Other general anesthetics
60687-0215-01,856535,C07AA,"Beta blocking agents, non-selective"
60687-0224-01,310459,C10AB,Fibrates
10019-0925-01,1791593,L01AA,Nitrogen mustard analogues
0228-2067-10,198057,N05BA,Benzodiazepine derivatives
61314-0203-15,1000647,S01EB,Parasympathomimetics
59148-0006-13,615172,N05AX,Other antipsychotics
